"","country","year","upop"
"5933","Kosovo","X1982",NA
"5934","Kuwait","X1982",96.414
"5935","Latin America & Caribbean (excluding high income)","X1982",63.35372971
"5936","Lao PDR","X1982",12.93
"5937","Lebanon","X1982",76.089
"5938","Liberia","X1982",37.173
"5939","Libya","X1982",72.773
"5940","St. Lucia","X1982",27.087
"5941","Latin America & Caribbean","X1982",65.59936273
"5942","Least developed countries: UN classification","X1982",17.83978064
"5943","Low income","X1982",19.67933345
"5944","Liechtenstein","X1982",18.043
"5945","Sri Lanka","X1982",18.664
"5946","Lower middle income","X1982",26.9159995
"5947","Low & middle income","X1982",31.39092121
"5948","Lesotho","X1982",11.57
"5949","Late-demographic dividend","X1982",34.09135582
"5950","Lithuania","X1982",62.73
"5951","Luxembourg","X1982",80.501
"5952","Latvia","X1982",67.722
"5953","Macao SAR, China","X1982",98.889
"5954","St. Martin (French part)","X1982",NA
"5955","Morocco","X1982",42.634
"5956","Monaco","X1982",100
"5957","Moldova","X1982",41.891
"5958","Madagascar","X1982",19.461
"5959","Maldives","X1982",23.574
"5960","Middle East & North Africa","X1982",50.83282164
"5961","Mexico","X1982",67.396
"5962","Marshall Islands","X1982",59.614
"5963","Middle income","X1982",32.30692346
"5964","Macedonia, FYR","X1982",54.43
"5965","Mali","X1982",19.466
"5966","Malta","X1982",89.803
"5967","Myanmar","X1982",23.993
"5968","Middle East & North Africa (excluding high income)","X1982",48.03227542
"5969","Montenegro","X1982",38.984
"5970","Mongolia","X1982",53.268
"5971","Northern Mariana Islands","X1982",87.444
"5972","Mozambique","X1982",15.035
"5973","Mauritania","X1982",30.295
"5974","Mauritius","X1982",41.917
"5975","Malawi","X1982",9.481
"5976","Malaysia","X1982",43.574
"5977","North America","X1982",74.22730726
"5978","Namibia","X1982",25.611
"5979","New Caledonia","X1982",58.197
"5980","Niger","X1982",13.871
"5981","Nigeria","X1982",23.389
"5982","Nicaragua","X1982",50.418
"5983","Netherlands","X1982",65.511
"5984","Norway","X1982",70.918
"5985","Nepal","X1982",6.616
"5986","Nauru","X1982",100
"5987","New Zealand","X1982",83.552
"5988","OECD members","X1982",71.02745316
"5989","Oman","X1982",51.385
"5990","Other small states","X1982",39.93107131
"5991","Pakistan","X1982",28.619
"5992","Panama","X1982",51.126
"5993","Peru","X1982",65.61
"5994","Philippines","X1982",39.675
"5995","Palau","X1982",64.422
"5996","Papua New Guinea","X1982",13.428
"5997","Poland","X1982",58.831
"5998","Pre-demographic dividend","X1982",23.61955075
"5999","Puerto Rico","X1982",75.406
"6000","Korea, Dem. People‰Ûªs Rep.","X1982",57.198
"6001","Portugal","X1982",43.738
"6002","Paraguay","X1982",42.785
"6003","Pacific island small states","X1982",29.13198416
"6004","Post-demographic dividend","X1982",72.17481985
"6005","French Polynesia","X1982",58.892
"6006","Qatar","X1982",89.663
"6007","Romania","X1982",47.495
"6008","Russian Federation","X1982",70.631
"6009","Rwanda","X1982",4.853
"6010","South Asia","X1982",22.94280393
"6011","Saudi Arabia","X1982",68.673
"6012","Sudan","X1982",20.376
"6013","Senegal","X1982",36.476
"6014","Singapore","X1982",100
"6015","Solomon Islands","X1982",11.288
"6016","Sierra Leone","X1982",30.68
"6017","El Salvador","X1982",45.086
"6018","San Marino","X1982",84.384
"6019","Somalia","X1982",27.28
"6020","Serbia","X1982",NA
"6021","Sub-Saharan Africa (excluding high income)","X1982",22.97687946
"6022","South Sudan","X1982",8.497
"6023","Sub-Saharan Africa","X1982",22.98115739
"6024","Small states","X1982",38.80515854
"6025","Sao Tome and Principe","X1982",34.826
"6026","Suriname","X1982",65.11
"6027","Slovak Republic","X1982",52.777
"6028","Slovenia","X1982",49.1
"6029","Sweden","X1982",83.1
"6030","Swaziland","X1982",19.357
"6031","Sint Maarten (Dutch part)","X1982",100
"6032","Seychelles","X1982",49.337
"6033","Syrian Arab Republic","X1982",47.268
"6034","Turks and Caicos Islands","X1982",59.435
"6035","Chad","X1982",19.179
"6036","East Asia & Pacific (IDA & IBRD countries)","X1982",22.3373474
"6037","Europe & Central Asia (IDA & IBRD countries)","X1982",59.14651189
"6038","Togo","X1982",25.391
"6039","Thailand","X1982",27.308
"6040","Tajikistan","X1982",33.866
"6041","Turkmenistan","X1982",46.637
"6042","Latin America & the Caribbean (IDA & IBRD countries)","X1982",65.41288926
"6043","Middle East & North Africa (IDA & IBRD countries)","X1982",48.03227542
"6044","Timor-Leste","X1982",17.291
"6045","Tonga","X1982",21.594
"6046","South Asia (IDA & IBRD)","X1982",22.94280393
"6047","Sub-Saharan Africa (IDA & IBRD countries)","X1982",22.98115739
"6048","Trinidad and Tobago","X1982",10.341
"6049","Tunisia","X1982",51.76
"6050","Turkey","X1982",46.997
"6051","Tuvalu","X1982",31.544
"6052","Tanzania","X1982",15.409
"6053","Uganda","X1982",8.147
"6054","Ukraine","X1982",62.904
"6055","Upper middle income","X1982",37.10806919
"6056","Uruguay","X1982",86.138
"6057","United States","X1982",74.042
"6058","Uzbekistan","X1982",40.758
"6059","St. Vincent and the Grenadines","X1982",36.953
"6060","Venezuela, RB","X1982",80.382
"6061","British Virgin Islands","X1982",25.389
"6062","Virgin Islands (U.S.)","X1982",81.891
"6063","Vietnam","X1982",19.372
"6064","Vanuatu","X1982",15.508
"6065","West Bank and Gaza","X1982",NA
"6066","World","X1982",40.07771292
"6067","Samoa","X1982",21.2
"6068","Yemen, Rep.","X1982",17.251
"6069","South Africa","X1982",48.756
"6070","Congo, Dem. Rep.","X1982",27.583
"6071","Zambia","X1982",39.805
"6072","Zimbabwe","X1982",23.429
"6073","Aruba","X1983",50.426
"6074","Andorra","X1983",94.089
"6075","Afghanistan","X1983",16.437
"6076","Angola","X1983",21.398
"6077","Albania","X1983",34.552
"6078","Arab World","X1983",46.62663352
"6079","United Arab Emirates","X1983",80.247
"6080","Argentina","X1983",84.194
"6081","Armenia","X1983",66.675
"6082","American Samoa","X1983",76.429
"6083","Antigua and Barbuda","X1983",34.86
"6084","Australia","X1983",85.58
"6085","Austria","X1983",65.486
"6086","Azerbaijan","X1983",53.139
"6087","Burundi","X1983",4.85
"6088","Belgium","X1983",95.737
"6089","Benin","X1983",29.384
"6090","Burkina Faso","X1983",10.796
"6091","Bangladesh","X1983",16.631
"6092","Bulgaria","X1983",63.603
"6093","Bahrain","X1983",86.742
"6094","Bahamas, The","X1983",75.285
"6095","Bosnia and Herzegovina","X1983",36.933
"6096","Belarus","X1983",59.736
"6097","Belize","X1983",48.801
"6098","Bermuda","X1983",100
"6099","Bolivia","X1983",48.486
"6100","Brazil","X1983",68.142
"6101","Barbados","X1983",37.402
"6102","Brunei Darussalam","X1983",60.778
"6103","Bhutan","X1983",11.745
"6104","Botswana","X1983",21.723
"6105","Central African Republic","X1983",34.864
"6106","Canada","X1983",76.035
"6107","Central Europe and the Baltics","X1983",59.08156703
"6108","Switzerland","X1983",61.728
"6109","Channel Islands","X1983",31.871
"6110","Chile","X1983",82.359
"6111","China","X1983",21.545
"6112","Cote d'Ivoire","X1983",37.476
"6113","Cameroon","X1983",34.476
"6114","Congo, Rep.","X1983",50.633
"6115","Colombia","X1983",64.21
"6116","Comoros","X1983",24.548
"6117","Cabo Verde","X1983",28.133
"6118","Costa Rica","X1983",44.156
"6119","Caribbean small states","X1983",38.57927026
"6120","Cuba","X1983",69.925
"6121","Curacao","X1983",82.684
"6122","Cayman Islands","X1983",100
"6123","Cyprus","X1983",63.822
"6124","Czech Republic","X1983",75.423
"6125","Germany","X1983",73.103
"6126","Djibouti","X1983",74.504
"6127","Dominica","X1983",51.257
"6128","Denmark","X1983",84.134
"6129","Dominican Republic","X1983",53.323
"6130","Algeria","X1983",46.189
"6131","East Asia & Pacific (excluding high income)","X1983",23.40999072
"6132","Early-demographic dividend","X1983",31.99494312
"6133","East Asia & Pacific","X1983",29.37449036
"6134","Europe & Central Asia (excluding high income)","X1983",59.84662118
"6135","Europe & Central Asia","X1983",65.80013142
"6136","Ecuador","X1983",49.658
"6137","Egypt, Arab Rep.","X1983",43.906
"6138","Euro area","X1983",70.44372271
"6139","Eritrea","X1983",14.934
"6140","Spain","X1983",73.749
"6141","Estonia","X1983",70.347
"6142","Ethiopia","X1983",11.02
"6143","European Union","X1983",69.49726126
"6144","Fragile and conflict affected situations","X1983",28.80102372
"6145","Finland","X1983",74.202
"6146","Fiji","X1983",38.221
"6147","France","X1983",73.5
"6148","Faroe Islands","X1983",30.933
"6149","Micronesia, Fed. Sts.","X1983",26.283
"6150","Gabon","X1983",59.73
"6151","United Kingdom","X1983",78.489
"6152","Georgia","X1983",53.516
"6153","Ghana","X1983",31.842
"6154","Gibraltar","X1983",100
"6155","Guinea","X1983",26.072
"6156","Gambia, The","X1983",31.008
"6157","Guinea-Bissau","X1983",20.395
"6158","Equatorial Guinea","X1983",28.151
"6159","Greece","X1983",70.134
"6160","Grenada","X1983",33.086
"6161","Greenland","X1983",77.237
"6162","Guatemala","X1983",38.376
"6163","Guam","X1983",92.937
"6164","Guyana","X1983",30.215
"6165","High income","X1983",72.78178926
"6166","Hong Kong SAR, China","X1983",92.376
"6167","Honduras","X1983",36.577
"6168","Heavily indebted poor countries (HIPC)","X1983",21.99660759
"6169","Croatia","X1983",51.59
"6170","Haiti","X1983",21.36
"6171","Hungary","X1983",64.734
"6172","IBRD only","X1983",35.18054896
"6173","IDA & IBRD total","X1983",32.54835791
"6174","IDA total","X1983",22.2221167
"6175","IDA blend","X1983",26.62322083
"6176","Indonesia","X1983",24.415
"6177","IDA only","X1983",19.49806361
"6178","Isle of Man","X1983",51.773
"6179","India","X1983",23.879
"6180","Not classified","X1983",NA
"6181","Ireland","X1983",55.955
"6182","Iran, Islamic Rep.","X1983",51.916
"6183","Iraq","X1983",67.488
"6184","Iceland","X1983",89.062
"6185","Israel","X1983",89.608
"6186","Italy","X1983",66.866
"6187","Jamaica","X1983",48.016
"6188","Jordan","X1983",64.278
"6189","Japan","X1983",76.493
"6190","Kazakhstan","X1983",55.461
"6191","Kenya","X1983",15.879
"6192","Kyrgyz Republic","X1983",38.477
"6193","Cambodia","X1983",13.325
"6194","Kiribati","X1983",33.032
"6195","St. Kitts and Nevis","X1983",35.498
"6196","Korea, Rep.","X1983",61.693
"6197","Kosovo","X1983",NA
"6198","Kuwait","X1983",97.034
"6199","Latin America & Caribbean (excluding high income)","X1983",64.02573582
"6200","Lao PDR","X1983",13.214
"6201","Lebanon","X1983",77.24
"6202","Liberia","X1983",38.194
"6203","Libya","X1983",74.055
"6204","St. Lucia","X1983",27.364
"6205","Latin America & Caribbean","X1983",66.2384865
"6206","Least developed countries: UN classification","X1983",18.19209053
"6207","Low income","X1983",20.01874334
"6208","Liechtenstein","X1983",17.901
"6209","Sri Lanka","X1983",18.652
"6210","Lower middle income","X1983",27.2586893
"6211","Low & middle income","X1983",31.8763528
"6212","Lesotho","X1983",11.63
"6213","Late-demographic dividend","X1983",34.67473515
"6214","Lithuania","X1983",63.506
"6215","Luxembourg","X1983",80.557
"6216","Latvia","X1983",68.003
"6217","Macao SAR, China","X1983",99.084
"6218","St. Martin (French part)","X1983",NA
"6219","Morocco","X1983",43.347
"6220","Monaco","X1983",100
"6221","Moldova","X1983",42.649
"6222","Madagascar","X1983",19.943
"6223","Maldives","X1983",24.257
"6224","Middle East & North Africa","X1983",51.43959329
"6225","Mexico","X1983",67.919
"6226","Marshall Islands","X1983",60.396
"6227","Middle income","X1983",32.80678885
"6228","Macedonia, FYR","X1983",54.853
"6229","Mali","X1983",19.972
"6230","Malta","X1983",89.811
"6231","Myanmar","X1983",24.003
"6232","Middle East & North Africa (excluding high income)","X1983",48.55912823
"6233","Montenegro","X1983",40.088
"6234","Mongolia","X1983",53.86
"6235","Northern Mariana Islands","X1983",87.763
"6236","Mozambique","X1983",16.074
"6237","Mauritania","X1983",31.822
"6238","Mauritius","X1983",41.701
"6239","Malawi","X1983",9.704
"6240","Malaysia","X1983",44.345
"6241","North America","X1983",74.38029808
"6242","Namibia","X1983",25.861
"6243","New Caledonia","X1983",58.532
"6244","Niger","X1983",14.09
"6245","Nigeria","X1983",24.122
"6246","Nicaragua","X1983",50.658
"6247","Netherlands","X1983",65.916
"6248","Norway","X1983",71.049
"6249","Nepal","X1983",6.864
"6250","Nauru","X1983",100
"6251","New Zealand","X1983",83.592
"6252","OECD members","X1983",71.30173185
"6253","Oman","X1983",53.294
"6254","Other small states","X1983",40.50673531
"6255","Pakistan","X1983",28.859
"6256","Panama","X1983",51.465
"6257","Peru","X1983",66.031
"6258","Philippines","X1983",40.789
"6259","Palau","X1983",65.421
"6260","Papua New Guinea","X1983",13.616
"6261","Poland","X1983",59.202
"6262","Pre-demographic dividend","X1983",24.13278689
"6263","Puerto Rico","X1983",78.711
"6264","Korea, Dem. People‰Ûªs Rep.","X1983",57.346
"6265","Portugal","X1983",44.257
"6266","Paraguay","X1983",43.512
"6267","Pacific island small states","X1983",29.36430047
"6268","Post-demographic dividend","X1983",72.40855702
"6269","French Polynesia","X1983",58.836
"6270","Qatar","X1983",89.811
"6271","Romania","X1983",48.21
"6272","Russian Federation","X1983",71.066
"6273","Rwanda","X1983",4.92
"6274","South Asia","X1983",23.19780424
"6275","Saudi Arabia","X1983",70.033
"6276","Sudan","X1983",20.901
"6277","Senegal","X1983",36.832
"6278","Singapore","X1983",100
"6279","Solomon Islands","X1983",11.659
"6280","Sierra Leone","X1983",31.115
"6281","El Salvador","X1983",45.602
"6282","San Marino","X1983",85.792
"6283","Somalia","X1983",27.541
"6284","Serbia","X1983",NA
"6285","Sub-Saharan Africa (excluding high income)","X1983",23.41346702
"6286","South Sudan","X1983",8.708
"6287","Sub-Saharan Africa","X1983",23.41759062
"6288","Small states","X1983",39.22853577
"6289","Sao Tome and Principe","X1983",35.887
"6290","Suriname","X1983",65.184
"6291","Slovak Republic","X1983",53.244
"6292","Slovenia","X1983",49.26
"6293","Sweden","X1983",83.1
"6294","Swaziland","X1983",20.149
"6295","Sint Maarten (Dutch part)","X1983",100
"6296","Seychelles","X1983",49.322
"6297","Syrian Arab Republic","X1983",47.476
"6298","Turks and Caicos Islands","X1983",61.478
"6299","Chad","X1983",19.377
"6300","East Asia & Pacific (IDA & IBRD countries)","X1983",22.97109602
"6301","Europe & Central Asia (IDA & IBRD countries)","X1983",59.69163435
"6302","Togo","X1983",25.778
"6303","Thailand","X1983",27.569
"6304","Tajikistan","X1983",33.655
"6305","Turkmenistan","X1983",46.417
"6306","Latin America & the Caribbean (IDA & IBRD countries)","X1983",66.03547314
"6307","Middle East & North Africa (IDA & IBRD countries)","X1983",48.55912823
"6308","Timor-Leste","X1983",17.708
"6309","Tonga","X1983",21.817
"6310","South Asia (IDA & IBRD)","X1983",23.19780424
"6311","Sub-Saharan Africa (IDA & IBRD countries)","X1983",23.41759062
"6312","Trinidad and Tobago","X1983",10.087
"6313","Tunisia","X1983",52.356
"6314","Turkey","X1983",48.812
"6315","Tuvalu","X1983",32.425
"6316","Tanzania","X1983",15.851
"6317","Uganda","X1983",8.47
"6318","Ukraine","X1983",63.504
"6319","Upper middle income","X1983",37.78524228
"6320","Uruguay","X1983",86.498
"6321","United States","X1983",74.194
"6322","Uzbekistan","X1983",40.746
"6323","St. Vincent and the Grenadines","X1983",37.5
"6324","Venezuela, RB","X1983",80.907
"6325","British Virgin Islands","X1983",26.788
"6326","Virgin Islands (U.S.)","X1983",82.717
"6327","Vietnam","X1983",19.435
"6328","Vanuatu","X1983",15.905
"6329","West Bank and Gaza","X1983",NA
"6330","World","X1983",40.42240831
"6331","Samoa","X1983",21.2
"6332","Yemen, Rep.","X1983",17.619
"6333","South Africa","X1983",48.922
"6334","Congo, Dem. Rep.","X1983",27.84
"6335","Zambia","X1983",39.755
"6336","Zimbabwe","X1983",24.069
"6337","Aruba","X1984",50.411
"6338","Andorra","X1984",94.649
"6339","Afghanistan","X1984",16.696
"6340","Angola","X1984",21.965
"6341","Albania","X1984",34.817
"6342","Arab World","X1984",47.27025554
"6343","United Arab Emirates","X1984",80.026
"6344","Argentina","X1984",84.621
"6345","Armenia","X1984",66.883
"6346","American Samoa","X1984",77.103
"6347","Antigua and Barbuda","X1984",34.94
"6348","Australia","X1984",85.52
"6349","Austria","X1984",65.526
"6350","Azerbaijan","X1984",53.299
"6351","Burundi","X1984",5.033
"6352","Belgium","X1984",95.835
"6353","Benin","X1984",30.086
"6354","Burkina Faso","X1984",11.544
"6355","Bangladesh","X1984",17.06
"6356","Bulgaria","X1984",64.099
"6357","Bahrain","X1984",86.95
"6358","Bahamas, The","X1984",75.987
"6359","Bosnia and Herzegovina","X1984",37.261
"6360","Belarus","X1984",60.8
"6361","Belize","X1984",48.61
"6362","Bermuda","X1984",100
"6363","Bolivia","X1984",49.504
"6364","Brazil","X1984",69.01
"6365","Barbados","X1984",36.685
"6366","Brunei Darussalam","X1984",61.519
"6367","Bhutan","X1984",12.332
"6368","Botswana","X1984",24.139
"6369","Central African Republic","X1984",35.198
"6370","Canada","X1984",76.195
"6371","Central Europe and the Baltics","X1984",59.48021262
"6372","Switzerland","X1984",63.489
"6373","Channel Islands","X1984",31.851
"6374","Chile","X1984",82.492
"6375","China","X1984",22.203
"6376","Cote d'Ivoire","X1984",37.693
"6377","Cameroon","X1984",35.35
"6378","Congo, Rep.","X1984",51.56
"6379","Colombia","X1984",64.896
"6380","Comoros","X1984",25.006
"6381","Cabo Verde","X1984",29.792
"6382","Costa Rica","X1984",44.542
"6383","Caribbean small states","X1984",38.66679689
"6384","Cuba","X1984",70.433
"6385","Curacao","X1984",82.982
"6386","Cayman Islands","X1984",100
"6387","Cyprus","X1984",64.252
"6388","Czech Republic","X1984",75.394
"6389","Germany","X1984",72.943
"6390","Djibouti","X1984",74.715
"6391","Dominica","X1984",52.99
"6392","Denmark","X1984",84.243
"6393","Dominican Republic","X1984",53.596
"6394","Algeria","X1984",47.079
"6395","East Asia & Pacific (excluding high income)","X1984",24.0531215
"6396","Early-demographic dividend","X1984",32.42333396
"6397","East Asia & Pacific","X1984",29.95384724
"6398","Europe & Central Asia (excluding high income)","X1984",60.42128265
"6399","Europe & Central Asia","X1984",66.09235253
"6400","Ecuador","X1984",50.438
"6401","Egypt, Arab Rep.","X1984",43.922
"6402","Euro area","X1984",70.51971519
"6403","Eritrea","X1984",15.116
"6404","Spain","X1984",73.982
"6405","Estonia","X1984",70.558
"6406","Ethiopia","X1984",11.232
"6407","European Union","X1984",69.61392592
"6408","Fragile and conflict affected situations","X1984",29.2485394
"6409","Finland","X1984",75.015
"6410","Fiji","X1984",38.372
"6411","France","X1984",73.575
"6412","Faroe Islands","X1984",30.849
"6413","Micronesia, Fed. Sts.","X1984",26.216
"6414","Gabon","X1984",61.076
"6415","United Kingdom","X1984",78.44
"6416","Georgia","X1984",53.855
"6417","Ghana","X1984",32.209
"6418","Gibraltar","X1984",100
"6419","Guinea","X1984",26.346
"6420","Gambia, The","X1984",32.007
"6421","Guinea-Bissau","X1984",21.397
"6422","Equatorial Guinea","X1984",29.028
"6423","Greece","X1984",70.327
"6424","Grenada","X1984",33.135
"6425","Greenland","X1984",77.602
"6426","Guatemala","X1984",38.764
"6427","Guam","X1984",92.643
"6428","Guyana","X1984",30.124
"6429","High income","X1984",72.99834038
"6430","Hong Kong SAR, China","X1984",92.653
"6431","Honduras","X1984",37.155
"6432","Heavily indebted poor countries (HIPC)","X1984",22.45580581
"6433","Croatia","X1984",51.941
"6434","Haiti","X1984",22.297
"6435","Hungary","X1984",64.915
"6436","IBRD only","X1984",35.72561778
"6437","IDA & IBRD total","X1984",33.04138407
"6438","IDA total","X1984",22.59635612
"6439","IDA blend","X1984",27.02037718
"6440","Indonesia","X1984",25.244
"6441","IDA only","X1984",19.85865021
"6442","Isle of Man","X1984",51.769
"6443","India","X1984",24.113
"6444","Not classified","X1984",NA
"6445","Ireland","X1984",56.115
"6446","Iran, Islamic Rep.","X1984",52.657
"6447","Iraq","X1984",68.132
"6448","Iceland","X1984",89.319
"6449","Israel","X1984",89.719
"6450","Italy","X1984",66.846
"6451","Jamaica","X1984",48.22
"6452","Jordan","X1984",65.652
"6453","Japan","X1984",76.603
"6454","Kazakhstan","X1984",55.9
"6455","Kenya","X1984",15.979
"6456","Kyrgyz Republic","X1984",38.427
"6457","Cambodia","X1984",13.626
"6458","Kiribati","X1984",33.284
"6459","St. Kitts and Nevis","X1984",35.37
"6460","Korea, Rep.","X1984",63.301
"6461","Kosovo","X1984",NA
"6462","Kuwait","X1984",97.551
"6463","Latin America & Caribbean (excluding high income)","X1984",64.6930211
"6464","Lao PDR","X1984",13.504
"6465","Lebanon","X1984",78.353
"6466","Liberia","X1984",39.834
"6467","Libya","X1984",75.3
"6468","St. Lucia","X1984",27.643
"6469","Latin America & Caribbean","X1984",66.87132157
"6470","Least developed countries: UN classification","X1984",18.57498174
"6471","Low income","X1984",20.37173802
"6472","Liechtenstein","X1984",17.759
"6473","Sri Lanka","X1984",18.639
"6474","Lower middle income","X1984",27.61262299
"6475","Low & middle income","X1984",32.37547038
"6476","Lesotho","X1984",11.691
"6477","Late-demographic dividend","X1984",35.27928915
"6478","Lithuania","X1984",64.277
"6479","Luxembourg","X1984",80.613
"6480","Latvia","X1984",68.283
"6481","Macao SAR, China","X1984",99.244
"6482","St. Martin (French part)","X1984",NA
"6483","Morocco","X1984",44.063
"6484","Monaco","X1984",100
"6485","Moldova","X1984",43.412
"6486","Madagascar","X1984",20.434
"6487","Maldives","X1984",24.954
"6488","Middle East & North Africa","X1984",52.03374357
"6489","Mexico","X1984",68.437
"6490","Marshall Islands","X1984",61.175
"6491","Middle income","X1984",33.32130041
"6492","Macedonia, FYR","X1984",55.276
"6493","Mali","X1984",20.488
"6494","Malta","X1984",89.82
"6495","Myanmar","X1984",24.03
"6496","Middle East & North Africa (excluding high income)","X1984",49.08433184
"6497","Montenegro","X1984",41.204
"6498","Mongolia","X1984",54.452
"6499","Northern Mariana Islands","X1984",88.076
"6500","Mozambique","X1984",17.172
"6501","Mauritania","X1984",33.391
"6502","Mauritius","X1984",42.012
"6503","Malawi","X1984",9.931
"6504","Malaysia","X1984",45.119
"6505","North America","X1984",74.53140481
"6506","Namibia","X1984",26.113
"6507","New Caledonia","X1984",58.683
"6508","Niger","X1984",14.312
"6509","Nigeria","X1984",24.872
"6510","Nicaragua","X1984",50.898
"6511","Netherlands","X1984",66.319
"6512","Norway","X1984",71.18
"6513","Nepal","X1984",7.121
"6514","Nauru","X1984",100
"6515","New Zealand","X1984",83.633
"6516","OECD members","X1984",71.56669518
"6517","Oman","X1984",55.197
"6518","Other small states","X1984",41.1135801
"6519","Pakistan","X1984",29.101
"6520","Panama","X1984",51.805
"6521","Peru","X1984",66.449
"6522","Philippines","X1984",41.915
"6523","Palau","X1984",66.409
"6524","Papua New Guinea","X1984",13.806
"6525","Poland","X1984",59.573
"6526","Pre-demographic dividend","X1984",24.67807397
"6527","Puerto Rico","X1984",81.684
"6528","Korea, Dem. People‰Ûªs Rep.","X1984",57.495
"6529","Portugal","X1984",44.777
"6530","Paraguay","X1984",44.247
"6531","Pacific island small states","X1984",29.5910228
"6532","Post-demographic dividend","X1984",72.62889859
"6533","French Polynesia","X1984",58.745
"6534","Qatar","X1984",89.956
"6535","Romania","X1984",48.926
"6536","Russian Federation","X1984",71.497
"6537","Rwanda","X1984",4.988
"6538","South Asia","X1984",23.45533839
"6539","Saudi Arabia","X1984",71.36
"6540","Sudan","X1984",21.903
"6541","Senegal","X1984",37.191
"6542","Singapore","X1984",100
"6543","Solomon Islands","X1984",12.041
"6544","Sierra Leone","X1984",31.555
"6545","El Salvador","X1984",46.119
"6546","San Marino","X1984",87.095
"6547","Somalia","X1984",27.804
"6548","Serbia","X1984",NA
"6549","Sub-Saharan Africa (excluding high income)","X1984",23.88353426
"6550","South Sudan","X1984",9.261
"6551","Sub-Saharan Africa","X1984",23.88749894
"6552","Small states","X1984",39.67973404
"6553","Sao Tome and Principe","X1984",36.963
"6554","Suriname","X1984",65.259
"6555","Slovak Republic","X1984",53.711
"6556","Slovenia","X1984",49.42
"6557","Sweden","X1984",83.1
"6558","Swaziland","X1984",20.965
"6559","Sint Maarten (Dutch part)","X1984",100
"6560","Seychelles","X1984",49.307
"6561","Syrian Arab Republic","X1984",47.684
"6562","Turks and Caicos Islands","X1984",63.484
"6563","Chad","X1984",19.578
"6564","East Asia & Pacific (IDA & IBRD countries)","X1984",23.62033793
"6565","Europe & Central Asia (IDA & IBRD countries)","X1984",60.24575097
"6566","Togo","X1984",26.169
"6567","Thailand","X1984",27.832
"6568","Tajikistan","X1984",33.445
"6569","Turkmenistan","X1984",46.196
"6570","Latin America & the Caribbean (IDA & IBRD countries)","X1984",66.65465372
"6571","Middle East & North Africa (IDA & IBRD countries)","X1984",49.08433184
"6572","Timor-Leste","X1984",18.132
"6573","Tonga","X1984",22.042
"6574","South Asia (IDA & IBRD)","X1984",23.45533839
"6575","Sub-Saharan Africa (IDA & IBRD countries)","X1984",23.88749894
"6576","Trinidad and Tobago","X1984",9.839
"6577","Tunisia","X1984",53.011
"6578","Turkey","X1984",50.634
"6579","Tuvalu","X1984",33.32
"6580","Tanzania","X1984",16.305
"6581","Uganda","X1984",8.805
"6582","Ukraine","X1984",64.1
"6583","Upper middle income","X1984",38.48524699
"6584","Uruguay","X1984",86.85
"6585","United States","X1984",74.344
"6586","Uzbekistan","X1984",40.734
"6587","St. Vincent and the Grenadines","X1984",38.05
"6588","Venezuela, RB","X1984",81.422
"6589","British Virgin Islands","X1984",28.237
"6590","Virgin Islands (U.S.)","X1984",83.514
"6591","Vietnam","X1984",19.498
"6592","Vanuatu","X1984",16.31
"6593","West Bank and Gaza","X1984",NA
"6594","World","X1984",40.7769245
"6595","Samoa","X1984",21.2
"6596","Yemen, Rep.","X1984",17.993
"6597","South Africa","X1984",49.088
"6598","Congo, Dem. Rep.","X1984",28.1
"6599","Zambia","X1984",39.705
"6600","Zimbabwe","X1984",24.736
"6601","Aruba","X1985",50.395
"6602","Andorra","X1985",95.159
"6603","Afghanistan","X1985",16.958
"6604","Angola","X1985",22.541
"6605","Albania","X1985",35.083
"6606","Arab World","X1985",47.88959484
"6607","United Arab Emirates","X1985",79.804
"6608","Argentina","X1985",85.038
"6609","Armenia","X1985",67.09
"6610","American Samoa","X1985",77.762
"6611","Antigua and Barbuda","X1985",35.021
"6612","Australia","X1985",85.46
"6613","Austria","X1985",65.566
"6614","Azerbaijan","X1985",53.498
"6615","Burundi","X1985",5.221
"6616","Belgium","X1985",95.93
"6617","Benin","X1985",30.796
"6618","Burkina Faso","X1985",12.334
"6619","Bangladesh","X1985",17.496
"6620","Bulgaria","X1985",64.59
"6621","Bahrain","X1985",87.155
"6622","Bahamas, The","X1985",76.674
"6623","Bosnia and Herzegovina","X1985",37.589
"6624","Belarus","X1985",61.833
"6625","Belize","X1985",48.419
"6626","Bermuda","X1985",100
"6627","Bolivia","X1985",50.519
"6628","Brazil","X1985",69.862
"6629","Barbados","X1985",35.975
"6630","Brunei Darussalam","X1985",62.252
"6631","Bhutan","X1985",12.941
"6632","Botswana","X1985",26.724
"6633","Central African Republic","X1985",35.532
"6634","Canada","X1985",76.354
"6635","Central Europe and the Baltics","X1985",59.8737352
"6636","Switzerland","X1985",65.21
"6637","Channel Islands","X1985",31.832
"6638","Chile","X1985",82.624
"6639","China","X1985",22.874
"6640","Cote d'Ivoire","X1985",37.91
"6641","Cameroon","X1985",36.232
"6642","Congo, Rep.","X1985",52.221
"6643","Colombia","X1985",65.574
"6644","Comoros","X1985",25.469
"6645","Cabo Verde","X1985",31.5
"6646","Costa Rica","X1985",45.445
"6647","Caribbean small states","X1985",38.7594226
"6648","Cuba","X1985",70.933
"6649","Curacao","X1985",83.274
"6650","Cayman Islands","X1985",100
